# s_m; t_s; f_x_fl_N; f_y_fl_N; f_z_fl_N; f_x_fr_N; f_y_fr_N; f_z_fr_N;f_x_rl_N; f_y_rl_N; f_z_rl_N; f_x_rr_N;f_y_rr_N; f_z_rr_N;
150.0; 3.277; -35.7; -1615.1; 3824.6; -35.7; -1093.7; 2457.4; 2266.7; -1728.6; 4918.8; 2266.7; -1320.4; 3551.6
153.0; 3.337; -35.7; -1708.4; 3863.9; -35.7; -1133.7; 2426.2; 2261.1; -1832.0; 4957.3; 2261.1; -1380.0; 3519.7
156.0; 3.397; -35.7; -1789.4; 3898.5; -35.7; -1166.7; 2399.6; 2255.5; -1923.9; 4991.1; 2255.5; -1431.7; 3492.3
159.0; 3.456; -35.7; -1854.5; 3927.2; -35.7; -1192.1; 2378.8; 2250.1; -2000.1; 5019.2; 2250.1; -1473.7; 3470.8
162.0; 3.515; -35.7; -1901.2; 3949.2; -35.7; -1209.7; 2364.5; 2244.7; -2057.3; 5040.5; 2244.7; -1505.0; 3455.8
165.0; 3.574; -35.7; -1928.9; 3964.2; -35.7; -1220.0; 2357.2; 2239.5; -2093.5; 5054.8; 2239.5; -1524.8; 3447.8
168.0; 3.633; -35.7; -1938.4; 3972.4; -35.7; -1223.5; 2356.6; 2234.3; -2108.8; 5062.3; 2234.3; -1533.5; 3446.5
171.0; 3.692; -35.7; -1931.1; 3974.4; -35.7; -1221.0; 2362.2; 2229.2; -2104.7; 5063.6; 2229.2; -1532.0; 3451.5
174.0; 3.751; -35.7; -1910.0; 3971.0; -35.7; -1213.5; 2373.1; 2224.2; -2084.0; 5059.6; 2224.2; -1521.6; 3461.7
177.0; 3.810; -35.7; -1878.3; 3963.6; -35.7; -1202.1; 2387.9; 2219.3; -2050.4; 5051.5; 2219.3; -1504.2; 3475.9
180.0; 3.868; -35.7; -1839.8; 3953.3; -35.7; -1187.9; 2405.6; 2214.4; -2008.1; 5040.7; 2214.4; -1481.8; 3492.9
183.0; 3.927; -35.7; -1797.8; 3941.6; -35.7; -1172.1; 2424.6; 2209.5; -1961.4; 5028.3; 2209.5; -1456.7; 3511.4
186.0; 3.985; -35.7; -1755.6; 3929.6; -35.7; -1155.9; 2443.9; 2204.7; -1914.0; 5015.7; 2204.7; -1430.9; 3530.0
